Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,datetime
0.246,0,245.01,1,0,0,0,12/14/2007 1:40
1.376,0.094,239.68,5.6,0,0,19,9/24/2009 7:46
0.158,0,239.85,0.6,0,0,1,6/9/2008 2:07
1.642,0.204,238.4,6.8,0,0,0,11/29/2007 19:17
0.262,0,242.23,1,0,0,0,10/3/2008 0:22
0.452,0.362,241.98,2.4,0,2,1,9/6/2009 7:26
2.944,0.054,232.55,12.6,0,1,17,2/13/2008 18:40
0.336,0.058,244.93,1.4,0,0,0,3/4/2009 4:33
1.5,0.068,242.52,6.2,0,0,0,2/1/2009 17:18
0.396,0.092,239.88,1.6,0,1,1,10/9/2008 1:29
1.696,0.16,237.34,7.2,0,0,18,12/16/2007 11:32
1.592,0.068,236.27,7.2,0,1,17,10/3/2008 11:28
0.954,0.276,234.18,4.2,0,0,10,5/26/2009 16:59
0.508,0.326,241.06,2.4,0,2,0,3/25/2007 11:23
0.614,0.046,238.2,2.6,0,0,0,1/11/2008 17:03
1.384,0.082,242.47,5.6,0,2,18,1/19/2009 10:44
1.464,0.066,246.38,5.8,0,0,0,12/27/2008 9:04
1.598,0.254,241.22,6.6,0,0,19,9/12/2009 18:31
0.544,0.296,243.64,2.4,0,2,1,8/19/2009 12:14
0.228,0,244.97,1,0,0,0,2/9/2008 6:18
0.3,0.052,239.93,1.2,0,1,0,10/8/2008 3:24
3.546,0.216,233.75,15.2,37,2,17,5/6/2007 15:15
0.568,0.088,236.93,2.4,0,2,0,1/19/2008 21:47
0.266,0,244.18,1,0,0,0,4/1/2008 2:23
1.412,0.116,244.3,5.8,0,0,19,11/9/2009 0:00
0.128,0,239.64,0.6,0,0,0,7/5/2007 11:56
0.402,0.098,246.68,1.8,0,0,1,1/5/2010 0:12
0.342,0.048,244.42,1.4,0,0,0,12/18/2008 0:10
1.934,0.222,237.46,8.2,0,1,29,8/20/2009 6:18
0.654,0.104,240.97,3,0,0,0,5/8/2008 18:38
3.076,0.336,238.15,13.2,34,1,11,5/10/2009 12:33
1.31,0.1,241.89,5.4,2,1,18,6/20/2007 8:22
0.41,0.352,242.31,2.2,0,1,0,9/28/2009 16:51
0.508,0.086,242.36,2,0,1,1,2/28/2010 6:49
2.432,0.222,243.47,10.2,0,2,0,12/17/2006 4:08
0.204,0.122,241.3,1,0,1,0,6/13/2007 3:18
3.8,0.38,238.3,16,38,0,0,2/20/2009 17:17
4.486,0.356,239.77,18.6,40,0,18,1/17/2007 8:55
0.218,0,240.87,1,0,0,0,1/24/2008 4:56
2.554,0.198,241.34,10.6,0,1,19,2/15/2010 22:44
0.214,0,246.72,0.8,0,0,0,12/26/2008 1:43
0.324,0.212,238.68,1.6,0,0,0,8/1/2010 22:31
0.208,0,237.54,0.8,0,0,0,2/26/2008 11:06
0.244,0,237.55,1,0,0,0,8/4/2007 20:01
1.57,0.318,240.9,6.6,0,2,18,1/7/2008 12:18
0.274,0,251.46,1.2,0,0,0,1/6/2009 16:21
0.852,0.196,243.95,3.6,0,0,11,3/18/2010 15:11
2.404,0.156,231.12,11.4,0,0,0,5/28/2007 7:56
1.536,0,234.93,6.6,0,1,18,11/8/2010 12:57
0.21,0,247.68,0.8,0,0,0,12/22/2006 2:34
0.524,0.354,248.23,2.6,0,1,0,3/7/2009 4:17
1.642,0.316,236.2,7,0,1,0,12/6/2007 18:37
2.434,0.146,238.18,10.2,1,0,18,10/10/2009 21:47
1.558,0.108,242.73,6.4,0,0,18,11/4/2009 14:46
0.96,0.326,238.95,4.2,0,1,11,5/16/2008 6:17
1.656,0,240.72,6.8,1,0,18,11/22/2009 21:43
2.258,0.088,238.67,9.4,0,0,28,7/11/2009 8:43
1.584,0.102,243.68,6.4,0,3,18,2/4/2009 9:40
0.254,0.122,241.42,1.2,0,0,1,8/6/2010 11:47
0.314,0.094,246.89,1.4,0,1,0,12/23/2008 23:05
3.24,0.326,243.93,13.2,0,1,19,1/10/2010 16:23
0.198,0.112,234.37,1,0,0,0,7/30/2007 16:15
2.01,0.192,239.74,8.4,0,0,18,7/10/2008 20:01
1.358,0,244.33,5.4,0,0,0,1/25/2009 8:27
0.288,0.058,241.16,1.2,0,0,0,10/12/2009 15:46
1.45,0.08,242.11,6,0,0,18,12/15/2008 14:08
3.19,0.162,241.04,13.2,0,0,18,3/14/2009 23:24
1.47,0.084,240.99,6,0,0,18,4/3/2009 13:51
1.928,0,238.76,8,0,0,18,2/17/2007 8:22
0.208,0,241.8,0.8,0,0,0,12/17/2007 17:07
1.912,0.116,241.5,8.2,1,0,8,2/2/2009 22:08
0.262,0,242.87,1,0,0,1,11/8/2010 0:42
0.208,0,242.92,0.8,0,0,0,10/31/2007 4:21
0.158,0,242.73,0.6,0,0,0,7/19/2010 14:57
0.312,0.11,242.36,1.4,0,0,1,6/18/2010 18:34
0.796,0.09,238.87,3.2,0,0,0,8/7/2007 23:01
1.476,0.188,243.46,6,0,0,0,12/28/2008 7:53
0.39,0.218,244.65,1.8,0,1,1,4/24/2010 2:55
0.23,0,247.63,1,0,0,0,1/27/2007 5:25
0.384,0.172,242.18,1.8,0,1,0,3/8/2007 0:18
2.052,0.352,240.81,8.6,0,1,0,1/20/2009 20:28
0.308,0.076,244.77,1.4,0,0,0,12/22/2009 1:50
1.48,0.072,244.13,6,0,0,18,3/23/2008 18:01
0.202,0,239.14,0.8,0,0,0,10/31/2007 8:44
1.494,0.188,239.63,6.2,0,2,18,4/13/2008 0:56
0.228,0,241.13,1,0,0,0,10/28/2007 21:19
0.256,0.074,244.16,1,0,0,0,9/30/2010 22:34
0.194,0.1,234.62,1,0,2,0,5/4/2007 11:39
1.07,0.39,240.37,4.8,0,2,0,5/11/2008 18:01
0.458,0.258,241.43,2.4,0,0,0,7/14/2009 18:17
0.276,0.118,242.21,1.2,0,1,0,9/6/2009 5:26
1.246,0,239.79,5.2,0,0,18,9/22/2009 9:56
1.302,0.114,239.81,5.4,0,1,18,5/19/2008 9:57
6.064,0.224,233.61,25.8,0,72,17,11/24/2007 11:16
0.426,0.296,241.2,2.2,0,1,1,9/9/2010 12:18
1.41,0.064,244.04,5.8,0,0,18,3/6/2009 3:54
1.264,0.05,237.98,5.2,0,0,17,11/19/2007 8:43
0.94,0,238.03,4,0,0,0,5/25/2008 9:01
2.142,0.098,237.03,9,0,0,0,12/5/2007 20:40
0.424,0.052,241.31,2,0,0,0,10/31/2008 23:32
0.348,0.234,241.56,1.8,0,0,1,6/26/2009 12:10
0.396,0.212,242.22,1.8,0,0,0,3/27/2008 13:06
0.434,0.098,243.79,2,0,1,0,1/22/2008 23:58
0.082,0,243.45,0.2,0,0,1,8/14/2008 0:38
1.888,0,240.29,7.8,0,0,18,6/24/2010 22:22
0.282,0.228,237.67,1.4,0,0,0,8/4/2007 4:09
0.276,0.234,242.72,1.4,0,1,1,9/26/2009 3:56
0.29,0.06,236.2,1.2,0,0,0,5/27/2007 2:03
2.326,0.06,240.67,9.6,0,0,18,11/28/2007 21:56
0.396,0.112,239.14,1.8,0,0,1,5/4/2009 1:33
0.372,0.236,242.58,1.8,0,2,1,5/24/2010 23:44
1.364,0.06,241.7,5.6,1,0,1,9/22/2009 20:55
0.988,0,241.83,4,0,0,1,1/18/2010 17:32
0.24,0.112,239.64,1,0,0,1,9/1/2008 18:49
0.46,0.096,238.47,2,0,1,1,7/1/2009 11:17
0.106,0,234.38,0.6,0,0,0,4/23/2007 18:16
1.628,0.18,232.62,7,0,1,17,5/19/2007 18:11
1.278,0,239.49,5.2,0,0,18,2/13/2009 14:12
1.898,0.084,235.91,8,0,0,17,9/9/2007 20:43
3.052,0.214,235.46,13,0,0,17,1/12/2008 20:31
0.212,0.11,243.14,1,0,1,0,7/5/2007 16:07
0.24,0.126,237.34,1,0,0,0,7/31/2007 23:08
0.326,0.07,247.54,1.4,0,1,0,2/1/2009 22:38
0.138,0,239.64,0.6,0,0,1,9/8/2009 1:05
2.028,0.166,239.27,8.4,0,1,18,9/22/2007 21:21
0.486,0.106,245.91,2,0,0,0,11/21/2009 3:25
0.324,0.086,240.97,1.4,0,0,0,7/1/2010 2:57
5.65,0.238,236.62,23.8,37,32,18,6/17/2007 14:07
0.214,0,241.94,0.8,0,0,0,2/27/2008 6:47
1.986,0,241.37,8.2,0,0,18,5/19/2009 7:31
0.346,0.132,244.88,1.6,0,1,0,4/2/2007 4:35
0.08,0,240.06,0.2,0,0,0,8/16/2008 9:41
0.7,0.108,242.37,3.2,0,0,1,10/23/2008 16:42
1.304,0,239.17,5.4,0,0,18,10/6/2008 4:26
0.512,0.224,246.82,2.2,0,1,0,3/4/2009 16:09
0.66,0.212,240.18,2.8,0,0,1,9/22/2009 19:37
0.784,0.202,242.11,3.4,0,2,1,7/31/2009 0:10
1.428,0.046,242.65,5.8,0,0,18,2/9/2008 16:06
1.598,0.418,242.78,6.8,0,0,0,12/2/2007 2:39
2.878,0.41,238.52,12.2,0,2,17,4/1/2007 21:18
0.354,0.1,244.07,1.4,0,0,0,2/19/2010 2:15
0.37,0.122,245.2,1.6,0,0,1,3/4/2010 5:30
0.342,0.228,240.1,1.6,0,1,0,6/23/2007 16:58
0.61,0.132,240.14,3.2,0,2,3,5/17/2008 7:52
0.344,0.07,242.21,1.4,0,0,0,10/3/2010 7:21
2.69,0,240.05,11.2,0,0,18,12/18/2008 20:40
1.704,0,240.76,7,0,1,18,4/1/2007 9:23
0.396,0.192,241.1,1.8,0,0,0,12/28/2008 19:47
1.238,0.078,239.82,5,0,1,18,9/20/2007 19:38
0.306,0.084,239.19,1.4,0,0,0,9/8/2010 0:29
0.156,0,237.55,0.6,0,0,0,6/13/2008 11:43
1.572,0.346,239.88,6.6,0,2,0,11/23/2007 20:24
1.13,0.116,239.59,4.6,0,0,0,11/6/2009 18:22
1.382,0,245.23,5.6,0,1,19,3/28/2010 2:15
1.164,0.054,235.66,5,0,0,0,5/31/2007 20:18
1.32,0,240.65,5.4,0,0,18,1/22/2010 1:25
1.636,0.092,246.92,6.6,0,0,19,1/16/2009 14:39
0.342,0.228,238.39,1.6,0,2,1,7/28/2008 13:01
1.634,0.348,244.63,6.8,0,2,19,5/15/2010 5:15
0.228,0,244.2,1,0,0,0,2/22/2008 3:55
1.19,0,240.18,4.8,0,0,18,9/30/2009 10:08
0.154,0,240.06,0.6,0,0,1,8/2/2010 10:15
0.662,0.164,243.23,2.8,0,0,0,10/2/2007 22:49
0.308,0.102,243.72,1.2,0,2,0,2/21/2008 5:34
0.288,0.082,242.84,1.2,0,1,0,12/29/2008 12:28
0.266,0.1,238.75,1.2,0,0,0,6/30/2007 11:55
0.364,0.136,241.74,1.6,0,1,1,4/21/2008 6:04
0.364,0.19,237.7,1.6,0,1,0,3/27/2007 9:39
3.136,0.346,235.22,13.4,0,1,17,1/13/2007 20:05
0.312,0.11,241.35,1.4,0,0,0,2/27/2008 16:18
0.23,0,239.81,1,0,0,0,5/9/2010 8:14
1.616,0.052,236.14,6.8,0,1,17,11/19/2010 15:51
1.716,0.296,243.61,7,0,0,19,1/31/2010 13:23
0.592,0,243.89,2.4,0,0,0,1/27/2008 5:20
3.304,0.072,229.62,14.4,35,0,16,5/5/2007 22:23
0.28,0.06,244.32,1.2,0,0,0,2/18/2009 16:14
0.38,0.208,247.99,1.6,0,1,0,1/28/2009 2:37
0.24,0.098,240.18,1,0,1,0,9/9/2008 4:33
0.984,0.226,240.56,4.4,0,1,2,7/2/2010 3:02
1.466,0.112,243.36,6,0,0,18,1/2/2008 14:07
0.28,0,247.41,1.2,0,0,0,11/3/2010 23:28
1.286,0.096,242.27,5.2,0,1,19,9/27/2009 5:50
0.23,0.092,240.72,1,0,0,0,7/13/2007 2:02
0.394,0.086,241.02,1.6,0,0,1,5/3/2008 9:19
0.404,0.192,240.65,1.8,0,0,1,2/5/2010 17:16
0.774,0.104,243.72,3.2,0,0,1,9/14/2009 12:54
0.218,0,242.02,0.8,0,0,0,3/2/2007 2:02
0.264,0,246.97,1,0,0,1,10/26/2010 5:00
1.436,0.14,240.89,6,0,0,0,3/27/2009 18:46
3.636,0,232.86,15.6,0,37,17,7/28/2007 18:08
0.202,0.058,236.51,0.8,0,0,0,10/27/2008 8:23
0.48,0.092,242.82,2.2,0,0,0,2/20/2009 16:02
1.638,0.182,231.58,7,0,1,1,11/7/2010 18:37
0.214,0.05,247,0.8,0,0,0,12/25/2008 3:17
1.794,0.062,237.47,7.6,0,0,0,1/23/2008 18:23
1.874,0.536,241.34,8,1,2,18,4/12/2008 15:06
1.396,0.348,241.47,6,0,1,0,7/19/2009 0:59
2.492,0.408,238.23,11.4,32,0,1,6/5/2010 11:11
3.26,0.172,238.03,13.6,38,1,0,3/17/2007 17:25
0.248,0.098,243.2,1,0,0,0,9/19/2010 23:52
1,0.096,234.55,4.2,0,0,0,5/10/2007 21:46
2.588,0,237.48,10.8,0,0,18,2/19/2010 22:27
0.238,0.072,241.93,1,0,1,1,9/24/2010 18:19
0.284,0,243.42,1.2,0,0,1,12/1/2009 13:41
2.066,0.046,240.47,8.6,0,0,17,2/9/2008 10:37
0.136,0,241.1,0.6,0,0,0,8/3/2009 11:04
1.342,0,240.73,5.6,0,0,19,3/15/2010 13:02
1.342,0.068,241.82,5.4,0,0,18,1/7/2009 9:23
0.386,0.084,241.87,1.6,0,1,1,4/13/2008 12:45
0.262,0.066,243.94,1.2,0,0,0,10/25/2008 2:38
0.308,0,243.42,1.4,0,0,1,5/9/2009 0:49
0.326,0.126,243.78,1.4,0,0,0,6/19/2010 2:55
1.462,0.242,240.52,6,0,0,18,1/20/2007 7:25
0.27,0.284,243.6,1.6,0,1,0,8/25/2008 0:27
2.374,0.176,237.68,10,0,0,0,11/4/2008 19:47
0.218,0,246.59,0.8,0,0,0,3/8/2009 3:15
0.292,0.184,241.84,1.4,0,0,0,6/23/2009 15:07
0.334,0,248.01,1.4,0,0,0,12/2/2008 6:30
2.004,0.122,238.05,8.4,0,0,18,3/31/2008 22:29
0.214,0,243.72,0.8,0,0,0,1/15/2007 4:04
0.478,0.342,244.5,2.4,0,1,1,4/2/2010 3:37
1.488,0.214,239.73,6.2,1,0,18,6/1/2009 13:37
0.494,0.062,241.54,2,0,1,0,2/27/2010 8:12
0.214,0,240.78,1,0,0,0,4/19/2007 10:28
0.21,0,243.97,0.8,0,0,0,10/30/2007 23:00
0.3,0.054,243.93,1.4,0,0,0,11/6/2008 16:57
0.236,0,243.73,1,0,0,0,10/28/2009 12:38
0.14,0,243.46,0.6,0,0,1,8/8/2009 5:15
0.412,0.252,247.7,1.8,0,1,0,2/1/2010 15:43
0.23,0.102,238.99,1,0,1,1,6/6/2008 10:46
0.272,0,244.46,1.2,0,0,0,10/16/2009 0:10
0.286,0,243.84,1.2,0,0,0,12/17/2006 0:49
2.548,0.378,234.51,11.8,12,0,17,10/6/2007 11:47
0.348,0.112,246.93,1.6,0,0,0,1/31/2010 3:56
0.242,0.244,240.56,1.4,0,1,1,8/19/2008 15:13
3.972,0.134,238.6,16.6,38,0,0,6/19/2010 22:58
5.854,0.046,233.16,25,36,0,16,11/16/2008 20:28
0.23,0,245.77,1,0,0,0,12/4/2007 16:03
0.276,0,240.27,1.2,0,0,1,4/18/2008 5:41
1.238,0,234.84,5.2,0,0,17,5/29/2008 9:18
1.392,0.148,238.39,5.8,0,1,17,2/18/2008 13:03
1.3,0.086,242.93,5.2,0,0,19,9/8/2009 9:57
0.262,0.126,241.21,1.2,0,0,0,7/19/2010 10:15
0.346,0.086,247.37,1.4,0,2,0,3/31/2008 0:03
0.422,0.238,241.68,2,0,1,1,12/7/2009 1:54
2.272,0.218,238.97,9.4,0,0,18,12/14/2009 7:48
0.416,0,242.08,2,0,0,0,11/15/2007 14:32
0.364,0.068,241.5,1.6,0,0,1,10/12/2010 0:44
1.554,0.274,239.36,6.6,0,2,18,10/6/2010 9:45
0.216,0.122,239.54,1,0,0,0,9/1/2007 5:35
0.334,0.102,245.06,1.4,0,0,1,11/11/2009 6:04
1.45,0,240.42,6,0,0,0,12/7/2009 20:00
0.286,0.21,237.82,1.4,0,1,0,5/6/2007 3:49
0.26,0,246.47,1.2,0,0,0,2/19/2007 15:53
1.306,0,241.76,5.4,0,0,0,4/21/2009 3:30
0.248,0.048,243.02,1,0,0,0,2/23/2010 1:28
0.362,0.066,244.73,1.4,0,0,0,12/20/2009 19:43
0.828,0.318,244.16,4.6,0,0,0,1/4/2009 12:12
2.982,0.312,238,12.6,1,1,17,3/16/2008 20:08
0.4,0.192,239.46,1.8,0,0,1,4/30/2010 21:17
0.306,0.116,246.99,1.2,0,0,0,3/2/2007 23:59
0.324,0,248.34,1.4,0,0,0,2/8/2009 4:46
1.566,0.17,234.46,6.6,2,1,17,11/11/2010 13:52
0.252,0,239.57,1,0,0,0,3/5/2010 18:54
1.3,0,244.9,5.2,0,0,1,10/6/2010 23:44
0.294,0.188,241.23,1.6,0,1,1,7/27/2009 8:41
0.24,0,241.6,1,0,0,0,2/5/2008 6:11
1.93,0.188,238.68,8,0,0,18,3/3/2007 20:51
0.304,0.098,242.81,1.2,0,1,0,3/2/2008 6:01
1.346,0.056,237.81,5.6,0,0,18,5/29/2009 10:02
0.184,0.1,239.41,0.8,0,0,0,8/30/2007 10:50
1.594,0.222,237.09,7,0,0,17,2/19/2008 11:14
1.482,0.118,241.09,6.2,0,0,18,5/1/2009 17:33
1.268,0.074,242.13,5.2,0,0,0,11/25/2008 6:23
0.398,0,235.97,1.6,0,0,0,8/3/2007 1:33
1.778,0,241.99,7.2,0,1,1,9/21/2010 21:48
3.566,0,237.5,15,38,1,0,3/18/2010 21:49
0.404,0.12,243.48,1.8,0,0,1,6/10/2009 12:54
1.258,0,243.04,5.2,0,0,19,5/16/2009 9:52
3.91,0.078,241.39,17.2,0,0,17,11/27/2008 6:49
0.082,0,242.74,0.2,0,0,1,8/20/2008 23:23
0.342,0.07,243.06,1.4,0,0,1,5/21/2010 1:02
1.402,0.086,239.1,5.8,0,2,0,3/2/2008 20:27
3.414,0.06,239.08,14.2,0,0,17,3/25/2007 8:27
3.594,0.364,239.85,15.2,0,34,18,5/12/2010 17:35
1.856,0.252,240.66,7.8,0,1,24,11/1/2009 12:19
2.084,0.104,240.2,8.6,2,0,18,4/1/2008 21:38
1.346,0.072,239.89,5.6,0,0,18,4/11/2007 11:30
1.474,0.32,241.86,6.2,0,1,19,7/15/2009 7:34
0.948,0.118,240.89,3.8,0,0,0,9/20/2008 3:33
1.306,0,242.54,5.4,0,0,19,11/1/2009 6:15
0.156,0,241.67,0.6,0,0,1,8/4/2010 10:00
0.364,0.124,245.28,1.6,0,0,1,3/11/2010 5:35
0.268,0,241.14,1.2,0,0,0,3/8/2008 10:14
3.74,0,237.85,15.6,0,36,18,1/25/2008 13:57
0.314,0.218,237.5,1.6,0,0,0,9/5/2008 11:36
1.466,0.062,242.56,6,0,0,18,12/24/2008 18:46
2.816,0.134,231.81,12.2,0,0,0,1/6/2008 18:57
1.986,0.178,240.48,8.2,0,1,18,2/3/2007 16:34
0.51,0,242.26,2,0,0,0,2/29/2008 23:54
0.322,0.228,242.79,1.6,0,0,0,6/26/2010 16:34
0.234,0,243.88,1.2,0,0,1,6/3/2009 0:09
0.326,0,242.49,1.6,0,0,1,9/1/2008 16:03
0.294,0.118,242.63,1.4,0,2,1,7/9/2009 3:27
0.542,0.24,240.99,2.4,0,0,1,7/15/2010 12:18
0.574,0.21,247.11,2.6,0,0,0,2/9/2009 16:49
1.348,0.102,241.21,5.6,0,0,18,12/25/2008 10:23
1.518,0.242,240.16,6.4,0,0,17,8/20/2007 7:52
0.08,0,239.66,0.2,0,0,1,8/27/2008 4:06
0.22,0.122,238.27,1,0,0,0,7/25/2007 23:51
0.672,0.074,243.47,2.8,0,0,0,5/30/2009 5:01
1.934,0.09,241.23,8,0,1,19,5/14/2009 20:04
2.902,0.274,239.81,12,0,1,18,4/8/2008 6:45
4.298,0.178,239.12,18,37,2,29,10/24/2008 8:20
1.442,0.21,242.11,6,0,0,19,8/31/2009 4:12
0.258,0.11,240.95,1.4,0,2,0,7/13/2008 2:23
1.58,0.142,233.68,6.8,0,0,0,2/12/2007 19:04
0.302,0.08,243.5,1.2,0,0,0,2/9/2008 4:50
0.32,0.256,239.19,1.6,0,2,1,6/17/2008 4:06
2.736,0.082,237.7,11.4,0,0,18,12/31/2009 21:29
0.602,0,244.05,2.4,0,0,0,2/22/2007 16:04
1.316,0,240.63,5.4,1,0,18,2/14/2009 12:14
1.508,0.21,246.45,6,0,1,19,12/17/2009 11:40
0.448,0.07,243.46,2,0,0,1,4/20/2009 18:04
0.348,0.098,242.37,1.4,0,0,0,11/12/2007 6:37
0.316,0.096,245.05,1.4,0,1,1,11/5/2009 0:59
0.182,0,243.65,0.8,0,0,1,7/10/2009 15:01
0.154,0,239.24,0.6,0,0,1,8/8/2010 13:33
0.286,0,241.57,1.2,0,0,0,6/2/2010 0:27
1.648,0.158,239.25,6.8,0,0,18,2/13/2010 21:57
1.272,0.058,243.07,5.2,0,0,19,9/22/2010 16:38
0.418,0.17,243.77,1.8,0,0,1,3/13/2010 17:06
1.378,0.132,233.51,5.8,0,2,17,6/3/2007 18:02
1.4,0.078,241.28,5.8,0,0,18,2/5/2008 6:02
1.294,0,241.51,5.2,0,0,18,1/19/2009 12:03
0.278,0.06,240.03,1.2,0,0,0,9/12/2007 12:33
0.418,0.098,235.62,2,0,1,0,7/17/2007 19:03
2.216,0.152,235.59,9.4,0,1,17,10/6/2008 20:51
0.422,0.35,242.75,2.2,0,1,1,7/1/2009 15:19
3.552,0.208,236.14,15,0,36,1,8/4/2008 21:14
0.832,0.306,243.81,3.8,0,1,3,3/19/2010 23:19
1.33,0.368,240.56,5.6,0,0,11,11/3/2010 17:32
0.746,0.196,238.26,3.2,0,2,0,10/8/2007 14:22
0.314,0,240.17,1.4,0,0,1,8/30/2009 0:25
0.206,0.08,233.87,1,0,0,0,7/18/2007 6:15
0.63,0.192,233.01,2.8,0,0,0,7/31/2007 13:04
2.554,0,235.14,10.8,0,0,0,11/23/2007 19:17
1.216,0.07,242.65,5,0,0,0,2/9/2008 0:22
0.452,0.306,233.52,2.4,0,2,0,7/20/2007 13:58
2.504,0.08,237.44,10.4,0,0,0,4/9/2007 19:46
4.14,0.256,236.73,17.4,38,0,17,2/15/2009 11:04
0.31,0.09,238.58,1.4,0,1,1,4/23/2010 21:04
3.69,0.178,236.15,15.6,37,0,17,2/12/2007 9:38
1.63,0,246.3,6.6,0,0,19,11/25/2010 23:16
0.368,0.26,239.64,2,0,2,0,9/6/2008 12:26
0.23,0,241.46,1,0,0,0,3/13/2007 14:38
0.34,0.1,235.91,1.4,0,0,1,3/2/2010 20:56
5.31,0,231.86,22.8,37,0,17,2/14/2007 21:05
1.314,0.064,239,5.4,0,0,18,5/14/2008 10:08
0.206,0.052,236.27,0.8,0,0,0,5/22/2007 3:47
0.296,0,244.46,1.4,0,0,0,3/27/2009 4:29
4.38,0.15,235.25,18.6,0,0,18,5/27/2008 11:15
1.668,0.23,240.3,7.2,0,22,0,10/14/2009 16:38
0.27,0,243.66,1,0,0,0,3/10/2008 0:59
0.346,0.226,241.45,1.6,0,0,1,6/28/2010 5:41
1.39,0.09,242.47,5.6,0,0,18,1/19/2010 9:31
5.256,0.466,234.79,22.4,37,36,0,1/19/2008 12:36
0.314,0.202,241.78,1.6,0,1,0,9/2/2008 1:32
0.602,0.068,241.69,2.4,0,0,1,9/6/2009 19:54
0.39,0.122,246.38,1.6,0,0,0,12/25/2007 2:52
0.358,0.102,243.23,1.6,0,0,0,2/28/2009 1:16
0.292,0.072,241.87,1.2,0,0,0,3/5/2008 10:31
0.276,0,246,1.2,0,0,0,12/15/2008 0:51
1.568,0.07,241.73,6.4,0,0,18,3/3/2009 14:59
1.28,0.062,240.26,5.2,0,0,0,11/25/2008 16:48
0.12,0,243.49,0.6,0,1,0,9/17/2007 3:18
0.256,0,242.24,1,0,0,1,4/20/2009 14:33
2.112,0.062,246.97,8.4,0,0,19,12/15/2009 16:46
0.386,0,237.52,1.8,1,0,0,11/7/2008 22:29
0.858,0,243.87,3.6,0,0,0,1/26/2009 22:08
3.238,0.358,237.5,13.6,38,1,1,11/2/2009 12:38
1.026,0.362,241.26,4.4,0,1,12,7/15/2009 5:01
1.294,0,240.27,5.4,0,0,18,2/18/2008 8:54
0.392,0.12,239.25,1.8,0,0,0,4/20/2007 14:08
0.386,0.056,238.27,1.6,0,0,1,5/6/2010 0:16
0.46,0,233.3,2.2,0,0,0,5/22/2007 9:01
1.368,0.134,240.21,5.6,0,1,19,6/17/2008 19:40
1.258,0.074,237.62,5.2,0,0,17,11/19/2010 13:57
3.088,0.086,236.08,13,0,0,17,11/17/2008 7:54
1.298,0.052,239.05,5.4,0,0,18,10/16/2010 12:03
0.786,0.194,240.28,3.4,0,1,0,12/3/2009 18:05
2.512,0.214,237.52,10.6,0,2,17,12/26/2006 12:11
1.562,0.086,235.37,6.6,0,1,18,9/5/2008 20:20
2.616,0.174,239.17,10.8,0,0,17,4/6/2007 21:33
0.538,0.084,243.29,2.2,0,0,0,11/22/2010 15:40
1.274,0.102,238.93,5.2,0,1,18,7/12/2008 7:30
